ID,BaseRate,Feedback,age,gender,background,Accuracy
21,Low,Present,21,Female,Asian,0.890243902
23,Low,Present,21,Female,Hispanic,0.853658537
25,Low,Present,28,Male,White,0.926829268
28,Low,Present,18,Female,Asian,0.890243902
30,Low,Absent,37,Female,White,0.719512195
34,Low,Absent,30,Male,African American,0.731707317
38,Low,Absent,36,Female,White,0.402439024
40,Low,Absent,25,Female,White,0.646341463
43,Low,Present,19,Male,White,0.670731707
44,Low,Present,35,Female,Hispanic,0.804878049
45,Low,Absent,18,Female,Hispanic,0.585365854
53,Low,Absent,31,Male,White,0.707317073
57,Low,Absent,29,Male,White,0.536585366
58,Low,Absent,32,Female,White,0.658536585
60,Low,Present,22,Male,Asian,0.890243902
61,Low,Absent,28,Female,Asian,0.390243902
73,Low,Present,48,Male,White,0.87804878
75,Low,Present,21,Female,White,0.670731707
76,Low,Present,23,Male,White,0.93902439
77,Low,Absent,19,Female,Asian,0.646341463
82,Low,Absent,35,Male,African American,0.597560976
84,Low,Absent,31,Male,White,0.768292683
90,Low,Absent,23,Female,Asian,0.548780488
103,Low,Present,36,Male,White,0.87804878
106,Low,Absent,35,Female,Indigenous Native American,0.780487805
107,Low,Absent,24,Male,African American,0.512195122
110,Low,Present,31,Female,White,0.902439024
111,Low,Present,37,Female,White,0.951219512
120,Low,Absent,46,Male,White,0.768292683
123,Low,Present,20,Female,Asian,0.902439024
127,Low,Absent,27,Female,White,0.695121951
129,Low,Absent,21,Male,White,0.731707317
139,Low,Present,50,Female,White,0.865853659
140,Low,Present,32,Female,White,0.87804878
141,Low,Absent,33,Female,White,0.890243902
142,Low,Absent,22,Female,White,0.731707317
152,Low,Present,22,Male,White,0.914634146
153,Low,Present,30,Male,White,0.756097561
160,Low,Absent,42,Female,Asian,0.573170732
161,Low,Present,31,Male,Asian,0.865853659
163,Low,Present,70,Female,White,0.902439024
164,Low,Absent,33,Male,White,0.573170732
169,Low,Present,21,Male,White,0.865853659
171,Low,Absent,27,Gender diverse (please specify):,White,0.756097561
174,Low,Present,40,Male,White,0.853658537
177,Low,Absent,29,Female,White,0.695121951
178,Low,Present,30,Male,White,0.951219512
180,Low,Absent,23,Male,White,0.804878049
181,Low,Present,26,Male,White,0.890243902
184,Low,Present,33,Male,White,0.914634146
191,Low,Absent,19,Female,Asian,0.695121951
192,Low,Absent,28,Female,Hispanic,0.536585366
193,Low,Absent,36,Female,White,0.658536585
199,Low,Absent,33,Female,White,0.487804878
206,Low,Present,31,Gender diverse (please specify):,Please specify:,0.853658537
210,Low,Absent,30,Male,White,0.817073171
216,Low,Present,34,Male,White,0.926829268
217,Low,Absent,18,Female,White,0.865853659
219,Low,Present,22,Male,White,0.951219512
223,Low,Present,19,Male,White,0.902439024
227,Low,Present,36,Male,White,0.93902439
229,Low,Absent,25,Male,African American,0.585365854
235,Low,Present,37,Male,White,0.841463415
237,Low,Absent,26,Female,African American,0.902439024
238,Low,Absent,27,Male,Asian,0.646341463
242,Low,Present,29,Female,African American,0.926829268
243,Low,Present,18,Female,Hispanic,0.87804878
247,Low,Present,58,Female,White,0.853658537
248,Low,Absent,57,Female,White,0.707317073
250,Low,Absent,56,Female,White,0.914634146
257,Low,Present,69,Female,Hispanic,0.743902439
272,Low,Present,29,Male,White,0.573170732
273,Low,Absent,71,Male,White,0.56097561
274,Low,Absent,67,Female,White,0.62195122
276,Low,Present,21,Female,Hispanic,0.865853659
277,Low,Absent,63,Female,White,0.463414634
278,Low,Absent,36,Male,Asian,0.743902439
280,Low,Absent,30,Female,Please specify:,0.5
282,Low,Present,25,Male,White,0.926829268
287,Low,Present,47,Female,White,0.829268293
